Name    & Iter&           Cost&         RelResidual& Time& Niter_lsmr
------------------------------------------------------------------------------------------


Solver LSQ for  The discrete cosine transform (DCT)
 
2--8           &5    &4.1e-07        &6.3e-07        &0.18           &44   \\ 
4--16          &5    &1.4e-06        &7.3e-07        &0.27           &62   \\ 
8--32          &5    &3.4e-06        &4.4e-07        &0.41           &98   \\ 
16--64         &6    &6.7e-06        &1.3e-07        &0.73           &198  \\ 
32--128        &6    &1.4e-05        &1.6e-07        &1.14           &256  \\ 
64--256        &6    &2.8e-05        &2.1e-07        &1.85           &302  \\ 
128--512       &6    &5.8e-05        &2.1e-07        &3.00           &318  \\ 
256--1024      &6    &1.2e-04        &2.4e-07        &5.26           &327  \\ 
512--2048      &6    &2.2e-04        &2.3e-07        &9.93           &336  \\ 
1024--4096     &6    &4.4e-04        &2.4e-07        &19.33          &339  \\ 
2048--8192     &6    &8.8e-04        &2.4e-07        &37.85          &337  \\ 
4096--16384    &6    &1.7e-03        &2.3e-07        &75.01          &337  \\ 
8192--32768    &6    &3.5e-03        &2.3e-07        &154.29         &337  \\ 
16384--65536   &6    &7.0e-03        &2.3e-07        &307.00         &337  \\ 
32768--131072  &6    &1.4e-02        &2.3e-07        &630.14         &337  \\ 
Solver LSQ for  A pseudorandom number generator (PRNG)
 
2--8           &5    &2.7e-06        &7.8e-08        &0.36           &127  \\ 
4--16          &5    &7.7e-06        &3.2e-08        &0.58           &215  \\ 
16--64         &4    &3.2e-05        &6.0e-07        &1.53           &460  \\ 
32--128        &4    &6.7e-05        &9.6e-07        &2.28           &611  \\ 
64--256        &4    &1.3e-04        &5.6e-07        &3.61           &699  \\ 
128--512       &4    &2.6e-04        &3.2e-07        &8.55           &1039 \\ 
256--1024      &4    &5.2e-04        &1.4e-07        &19.94          &1128 \\ 
512--2048      &4    &1.0e-03        &1.8e-07        &52.68          &1167 \\ 
1024--4096     &4    &2.1e-03        &9.4e-07        &155.22         &1193 \\ 
Solver LSQ for  The discrete cosine transform (DCT) 
2--8           &5    &4.2e-07        &2.2e-07        &0.07           &8    \\ 
4--16          &5    &1.4e-06        &6.5e-07        &0.07           &8    \\ 
8--32          &5    &3.4e-06        &6.8e-07        &0.08           &8    \\ 
16--64         &5    &8.0e-06        &6.7e-07        &0.09           &8    \\ 
32--128        &5    &1.6e-05        &6.8e-07        &0.11           &8    \\ 
64--256        &5    &3.3e-05        &7.0e-07        &0.16           &8    \\ 
128--512       &5    &6.7e-05        &7.1e-07        &0.24           &8    \\ 
256--1024      &5    &1.3e-04        &7.1e-07        &0.42           &8    \\ 
512--2048      &5    &2.6e-04        &7.1e-07        &0.83           &8    \\ 
1024--4096     &5    &5.2e-04        &7.1e-07        &1.55           &8    \\ 
2048--8192     &5    &1.0e-03        &7.1e-07        &2.89           &8    \\ 
4096--16384    &5    &2.0e-03        &7.2e-07        &5.93           &8    \\ 
8192--32768    &5    &4.1e-03        &7.1e-07        &11.87          &8    \\ 
16384--65536   &5    &8.2e-03        &7.1e-07        &24.00          &8    \\ 
32768--131072  &5    &1.6e-02        &7.1e-07        &48.46          &8    \\ 
65536--262144  &5    &3.3e-02        &7.1e-07        &98.36          &8    \\ 
131072--524288 &5    &6.5e-02        &7.0e-07        &199.75         &8    \\ 
262144--1048576&5    &1.3e-01        &7.3e-07        &395.43         &8    \\ 
Solver LSQ for  A pseudorandom number generator (PRNG)
2--8           &4    &2.7e-06        &6.9e-08        &0.08           &21   \\ 
4--16          &4    &7.8e-06        &1.9e-08        &0.13           &36   \\ 
8--32          &4    &1.6e-05        &1.3e-08        &0.21           &63   \\ 
16--64         &3    &3.2e-05        &5.4e-07        &0.27           &66   \\ 
32--128        &3    &6.7e-05        &1.7e-07        &0.46           &96   \\ 
64--256        &3    &1.3e-04        &5.5e-08        &0.65           &103  \\ 
128--512       &3    &2.6e-04        &1.7e-08        &1.20           &114  \\ 
256--1024      &3    &5.2e-04        &6.8e-09        &2.85           &118  \\ 
512--2048      &3    &1.0e-03        &2.0e-08        &6.49           &120  \\ 
1024--4096     &3    &2.1e-03        &1.1e-07        &20.19          &123  \\ 
2048--8192     &4    &4.1e-03        &1.5e-10        &87.31          &193  \\ 
4096--16384    &4    &8.2e-03        &4.2e-07        &335.65         &199  \\ 
128--512       &3    &2.6e-04        &1.7e-08        &1.49           &114  \\ 
1024--4096     &3    &2.1e-03        &1.1e-07        &26.75          &123  \\ 
1024--4096     &10   &1.1e+03        &9.4e-01        &2.47           &9    \\ 
1024--4096     &5    &5.2e-04        &7.1e-07        &1.64           &8    \\ 
1024--4096     &5    &5.2e-04        &7.1e-07        &1.57           &8    \\ 
1024--4096     &3    &2.1e-03        &1.1e-07        &26.41          &123  \\ 
256--1024      &3    &5.2e-04        &6.8e-09        &3.21           &118  \\ 
1024--4096     &5    &5.2e-04        &7.1e-07        &1.59           &8    \\ 
2--8           &5    &4.2e-07        &2.2e-07        &0.07           &8    \\ 
2--8           &5    &4.2e-07        &2.2e-07        &0.06           &8    \\ 
2--8           &5    &4.2e-07        &2.2e-07        &0.07           &8    \\ 
1024--4096     &3    &2.1e-03        &1.1e-07        &21.26          &121  \\ 
512--2048      &3    &1.0e-03        &2.0e-08        &7.60           &119  \\ 
512--2048      &3    &1.0e-03        &2.0e-08        &6.43           &119  \\ 
