Dimension      Iter OptimalValue  Residual      Time  Niter_lsmr

PDCO--2_4    :[18,    2.35e-12,     7.76e-07,     0.28,   176] 
PDCO--8_16    :[300,    9.49e-08,     3.72e-06,     12.24,   11981] 
PDCO--16_32    :[130,    5.64e-10,     9.94e-07,     8.23,   10362] 
PDCO--32_64    :[108,    2.89e-11,     9.76e-07,     6.26,   15267] 
PDCO--64_128    :[62,    6.22e-11,     9.84e-07,     9.70,   9457] 
PDCO--128_256    :[67,    1.28e-09,     9.83e-07,     27.87,   11216] 
PDCO--512_1024    :[54,    3.08e-07,     9.77e-07,     338.72,   9951] 
PDCO--256_512    :[57,    1.66e-08,     7.66e-07,     86.39,   9787] 
PDCO--512_1024    :[54,    3.08e-07,     9.77e-07,     355.71,   9951]  
PDCO--1024_2048    :[47,    5.49e-05,     9.26e-07,     1136.69,   8002] 

PDCO--2_4    :[21,    4.03e-06,     7.05e-07,     1.41,   104] 
PDCO--8_16    :[21,    1.61e-05,     7.06e-07,     1.32,   104] 
PDCO--16_32    :[23,    1.72e-05,     4.80e-07,     1.49,   116] 
PDCO--32_64    :[26,    1.41e-05,     2.57e-07,     1.68,   155] 
PDCO--64_128    :[25,    3.22e-05,     5.76e-07,     1.75,   149] 
PDCO--128_256    :[26,    2.95e-04,     1.46e-07,     1.60,   157] 
PDCO--256_512    :[29,    1.41e-04,     9.18e-07,     1.84,   203] 
PDCO--512_1024    :[30,    8.42e-04,     1.33e-07,     3.14,   239] 
PDCO--1024_2048    :[34,    4.92e-04,     9.10e-09,     7.94,   272] 
PDCO--16384_32768    :[33,    4.26e-02,     7.19e-07,     85.51,   328] 
PDCO--32768_65536    :[38,    2.68e-02,     3.99e-07,     203.53,   378] 
PDCO--65536_131072    :[39,    1.01e-01,     2.69e-09,     552.61,   419] 
PDCO--131072_262144    :[43,    7.48e-02,     5.50e-10,     1444.58,   466] 



2--4    &41    &1.41e-09    &9.09e-16    &0.76    &41 
8--16    &39    &5.65e-09    &3.64e-15    &0.67    &39 
16--32    &37    &1.13e-08    &1.46e-14    &0.76    &37 
32--64    &37    &2.26e-08    &1.46e-14    &0.63    &37 
64--128    &38    &4.52e-08    &6.31e-14    &0.61    &38 
128--256    &36    &9.04e-08    &1.15e-13    &0.53    &36 
256--512    &34    &1.81e-07    &4.35e-13    &0.54    &34 
512--1024    &30    &3.62e-07    &1.86e-12    &0.51    &30 
1024--2048    &32    &7.24e-07    &1.88e-12    &0.73    &32 
8192--16384    &32    &5.79e-06    &6.29e-11    &1.08    &32 
16384--32768    &29    &1.16e-05    &1.14e-10    &1.27    &29 
32768--65536    &29    &2.32e-05    &1.83e-10    &1.83    &29 
65536--131072    &31    &4.63e-05    &6.10e-11    &3.12    &31 
131072--262144    &31    &9.26e-05    &1.22e-10    &7.04    &31 
2--4    &41    &1.41e-09    &9.09e-16    &0.44    &41 
8--16    &39    &5.65e-09    &3.64e-15    &0.52    &39 
16--32    &37    &1.13e-08    &1.46e-14    &0.60    &37 
32--64    &37    &2.26e-08    &1.46e-14    &0.53    &37 
64--128    &38    &4.52e-08    &6.31e-14    &0.54    &38 
128--256    &36    &9.04e-08    &1.15e-13    &0.56    &36 
256--512    &34    &1.81e-07    &4.35e-13    &0.45    &34 
512--1024    &30    &3.62e-07    &1.86e-12    &0.47    &30 
1024--2048    &32    &7.24e-07    &1.88e-12    &0.64    &32 
8192--16384    &32    &5.79e-06    &6.29e-11    &1.13    &32 
16384--32768    &29    &1.16e-05    &1.14e-10    &1.37    &29 
32768--65536    &29    &2.32e-05    &1.83e-10    &1.85    &29 
65536--131072    &31    &4.63e-05    &6.10e-11    &3.48    &31 
131072--262144    &31    &9.26e-05    &1.22e-10    &6.66    &31 
2--4    &41    &1.41e-09    &9.09e-16    &0.49    &41 
8--16    &39    &5.65e-09    &3.64e-15    &0.58    &39 
16--32    &37    &1.13e-08    &1.46e-14    &0.44    &37 
32--64    &37    &2.26e-08    &1.46e-14    &0.46    &37 
64--128    &38    &4.52e-08    &6.31e-14    &0.55    &38 
128--256    &36    &9.04e-08    &1.15e-13    &0.55    &36 
256--512    &34    &1.81e-07    &4.35e-13    &0.50    &34 
512--1024    &30    &3.62e-07    &1.86e-12    &0.64    &30 
1024--2048    &32    &7.24e-07    &1.88e-12    &0.64    &32 
8192--16384    &32    &5.79e-06    &6.29e-11    &1.15    &32 
16384--32768    &28    &1.16e-05    &1.22e-10    &1.04    &28 
32768--65536    &27    &2.32e-05    &4.88e-10    &1.34    &27 
65536--131072    &26    &4.63e-05    &1.95e-09    &2.10    &26 
131072--262144    &25    &9.26e-05    &7.81e-09    &3.99    &25 
2--4    &41    &1.41e-09    &9.09e-16    &0.57    &41 
8--16    &0     &-4.00e+00    &7.99e+00    &0.01    &0  
16--32    &0     &-8.00e+00    &1.60e+01    &0.00    &0  
32--64    &0     &-1.60e+01    &3.20e+01    &0.00    &0  
64--128    &0     &-3.20e+01    &6.40e+01    &0.01    &0  
128--256    &0     &-6.40e+01    &1.28e+02    &0.00    &0  
256--512    &0     &-1.28e+02    &2.56e+02    &0.01    &0  
512--1024    &0     &-2.56e+02    &5.12e+02    &0.01    &0  
1024--2048    &0     &-5.12e+02    &1.02e+03    &0.00    &0  
8192--16384    &0     &-4.10e+03    &8.19e+03    &0.01    &0  
16384--32768    &0     &-8.19e+03    &1.64e+04    &0.02    &0  
32768--65536    &0     &-1.64e+04    &3.27e+04    &0.04    &0  
65536--131072    &0     &-3.28e+04    &6.55e+04    &0.03    &0  
131072--262144    &0     &-6.55e+04    &1.31e+05    &0.05    &0  
2--4    &41    &1.41e-09    &9.09e-16    &0.64    &41 
8--16    &0     &-4.00e+00    &7.99e+00    &0.01    &0  
16--32    &0     &-8.00e+00    &1.60e+01    &0.01    &0  
32--64    &0     &-1.60e+01    &3.20e+01    &0.01    &0  
64--128    &0     &-3.20e+01    &6.40e+01    &0.01    &0  
128--256    &0     &-6.40e+01    &1.28e+02    &0.01    &0  
256--512    &0     &-1.28e+02    &2.56e+02    &0.00    &0  
512--1024    &0     &-2.56e+02    &5.12e+02    &0.00    &0  
1024--2048    &0     &-5.12e+02    &1.02e+03    &0.00    &0  
8192--16384    &0     &-4.10e+03    &8.19e+03    &0.01    &0  
16384--32768    &0     &-8.19e+03    &1.64e+04    &0.02    &0  
32768--65536    &0     &-1.64e+04    &3.27e+04    &0.03    &0  
65536--131072    &0     &-3.28e+04    &6.55e+04    &0.03    &0  
131072--262144    &0     &-6.55e+04    &1.31e+05    &0.06    &0  
2--4    &43    &1.41e-09    &6.79e-16    &0.64    &43 
8--16    &41    &5.65e-09    &2.72e-15    &0.52    &41 
16--32    &37    &1.13e-08    &1.46e-14    &0.62    &37 
32--64    &38    &2.26e-08    &7.28e-15    &0.58    &38 
64--128    &38    &4.52e-08    &6.31e-14    &0.65    &38 
128--256    &36    &9.04e-08    &1.15e-13    &0.67    &36 
256--512    &34    &1.81e-07    &4.35e-13    &0.68    &34 
512--1024    &30    &3.62e-07    &1.86e-12    &0.54    &30 
1024--2048    &32    &7.24e-07    &1.88e-12    &0.65    &32 
8192--16384    &32    &5.79e-06    &6.29e-11    &1.17    &32 
16384--32768    &29    &1.16e-05    &1.14e-10    &1.29    &29 
32768--65536    &29    &2.32e-05    &1.83e-10    &1.86    &29 
65536--131072    &31    &4.63e-05    &6.10e-11    &3.15    &31 
131072--262144    &31    &9.26e-05    &1.22e-10    &6.41    &31 
2--4    &43    &1.41e-09    &6.79e-16    &0.48    &43 
8--16    &41    &5.65e-09    &2.72e-15    &0.59    &41 
16--32    &37    &1.13e-08    &1.46e-14    &0.48    &37 
32--64    &38    &2.26e-08    &7.28e-15    &0.65    &38 
64--128    &38    &4.52e-08    &6.31e-14    &0.64    &38 
128--256    &36    &9.04e-08    &1.15e-13    &0.56    &36 
256--512    &34    &1.81e-07    &4.35e-13    &0.64    &34 
512--1024    &30    &3.62e-07    &1.86e-12    &0.56    &30 
1024--2048    &32    &7.24e-07    &1.88e-12    &0.59    &32 
8192--16384    &32    &5.79e-06    &6.29e-11    &1.21    &32 
16384--32768    &29    &1.16e-05    &1.14e-10    &1.34    &29 
32768--65536    &29    &2.32e-05    &1.83e-10    &1.85    &29 
65536--131072    &31    &4.63e-05    &6.10e-11    &3.24    &31 
131072--262144    &31    &9.26e-05    &1.22e-10    &6.49    &31 
2--4    &43    &1.41e-09    &6.79e-16    &0.54    &43 
8--16    &41    &5.65e-09    &2.72e-15    &0.51    &41 
16--32    &37    &1.13e-08    &1.46e-14    &0.58    &37 
32--64    &38    &2.26e-08    &7.28e-15    &0.63    &38 
